epoch,Train_loss,Test_loss,Train_f1_score,Train_auroc,Test_f1_score,Test_auroc
1,-0.0,-0.0,0.16466520930189713,0.0,0.0874959766479577,0.0
2,-0.0,-0.0,0.16003570635426714,0.0,0.1641228425786713,0.0
3,-0.0,-0.0,0.1641885454742565,0.0,0.14770947673978452,0.0
4,-0.0,-0.0,0.16186892369255843,0.0,0.17256975501556257,0.0
5,-0.0,-0.0,0.1639838963933272,0.0,0.18139709149956748,0.0
6,-0.0,-0.0,0.15987516457067322,0.0,0.14810690494108678,0.0
7,-0.0,-0.0,0.1629119764048825,0.0,0.16617629633506606,0.0
8,-0.0,-0.0,0.1636044559852234,0.0,0.16888921950035438,0.0
9,-0.0,-0.0,0.16122209001632354,0.0,0.1682742825938927,0.0
10,-0.0,-0.0,0.15969263859565466,0.0,0.17701503422187323,0.0
11,-0.0,-0.0,0.16493052388870488,0.0,0.17699000919693583,0.0
12,-0.0,-0.0,0.16604775171668998,0.0,0.17533113350128315,0.0
13,-0.0,-0.0,0.159090501017937,0.0,0.14421270821814441,0.0
14,-0.0,-0.0,0.15701730754602997,0.0,0.15897717374892859,0.0
15,-0.0,-0.0,0.16002680631967275,0.0,0.18121063192601092,0.0
16,-0.0,-0.0,0.15620451430133608,0.0,0.17043074963470206,0.0
17,-0.0,-0.0,0.15776272220538157,0.0,0.14957949527390946,0.0
18,-0.0,-0.0,0.16415426984592368,0.0,0.14349358739944576,0.0
19,-0.0,-0.0,0.16355910447696612,0.0,0.1598707456441749,0.0
20,-0.0,-0.0,0.161715236462825,0.0,0.1764951041865857,0.0
21,-0.0,-0.0,0.16002964706889336,0.0,0.19410275840608388,0.0
22,-0.0,-0.0,0.16335434026055773,0.0,0.1575130989855453,0.0
23,-0.0,-0.0,0.16152852642089438,0.0,0.17495117762261717,0.0
24,-0.0,-0.0,0.16043867406733814,0.0,0.1342578566221406,0.0
25,-0.0,-0.0,0.16199100043899453,0.0,0.1912707805678484,0.0
